country,year,happiness_score,gdp_factor,social_support_factor,health_factor,freedom_factor,generosity_factor,corruption_factor,iso3,co2_total_mt,co2_per_capita_t,gdp_current_usd,gdp_per_capita_usd,internet_users_pct,life_expectancy_years,population_total,trade_pct_gdp,unemployment_pct,urban_population_pct
Uzbekistan,2015,6.003,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826,UZB,103.695922,3.350497,66903804142.5395,2137.57685230278,42.8,71.192,31298900.0,49.3240984283064,5.15000009536743,50.75
Slovakia,2015,5.995,1.16891,1.26999,0.78902,0.31751,0.16893,0.03431,SVK,34.468229,6.354242,87769595120.4718,16182.3037239884,77.6347,76.5634146341463,5423801.0,183.118713958796,11.4809999465942,53.889
Japan,2015,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806,JPN,1223.605161,9.615687,4394977752877.82,34567.7456750995,91.05802839,83.7939024390244,127141000.0,35.5964012573268,3.40000009536743,91.381
South Korea,2015,5.984,1.24461,0.95774,0.96538,0.33208,0.18557,0.07857,KOR,634.177278,12.436214,1382764027113.82,27105.076226264,89.9,82.0243902439024,51014947.0,83.7121215269455,3.59999990463257,81.634
Ecuador,2015,5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809,ECU,41.275735,2.54853,99290381000.0,6150.15595531519,48.94043379,76.102,16144368.0,45.243877148583,3.6159999370575,63.398
Bahrain,2015,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,BHR,32.459648,23.829856,31125851063.8298,22688.8782442968,93.47830114,76.761,1371855.0,154.067392842373,1.07599997520447,88.999
Italy,2015,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901,ITA,361.163177,5.996111,1832273032580.67,30170.5166036556,58.14173496,82.5439024390244,60730582.0,56.9313063356168,11.8959999084473,69.565
Bolivia,2015,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088,BOL,21.242199,1.915423,33000198263.3864,3077.02619917158,35.56227065,68.756,10724705.0,67.9328449414657,3.06599998474121,68.393
Moldova,2015,5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615,MDA,4.78176,1.459015,6512885830.43282,1832.49519441526,69.0,71.468,3554108.0,116.668180449161,3.69400000572205,42.49
Paraguay,2015,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,PRY,6.047637,0.978907,36164068797.2511,5447.11863083808,49.72,73.023,6639119.0,65.638322694197,4.55600023269653,60.75
Kazakhstan,2015,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,KAZ,301.273154,16.891382,184388432148.715,10510.7718884148,70.8299336,72.0,17542806.0,53.0497288072652,4.92999982833862,57.191
Slovenia,2015,5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787,SVN,13.653307,6.561371,43072415017.4321,20873.1611094925,73.0987,80.7756097560976,2063531.0,145.39663702532,8.96199989318848,53.781
Lithuania,2015,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031,LTU,13.319679,4.494175,41516701871.248,14291.9064174959,71.378,74.3219512195122,2904910.0,152.125779884212,9.11999988555908,67.23
Nicaragua,2015,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317,NIC,5.430953,0.862248,12611087031.4931,2073.49793802454,19.7042915,75.149,6082035.0,99.4728626022206,4.39699983596802,57.895
